Scientist,Institute,Country,Rank,Field
"Lang, Anthony E.",Toronto Western Hospital University of Toronto,can,727,Clinical Medicine
"Ritchie, Robert O.","University of California, Berkeley",usa,728,Enabling & Strategic Technologies
"Henrissat, Bernard",Aix Marseille Universit�,fra,729,Biomedical Research
"Rajkumar, S. Vincent",Mayo Clinic,usa,730,Clinical Medicine
"Lee, Virginia M.Y.",University of Pennsylvania Perelman School of Medicine,usa,731,Clinical Medicine
"Brown, James H.",The University of New Mexico,usa,732,Biology
"Ramakrishna, Seeram",National University of Singapore,sgp,733,Enabling & Strategic Technologies
"Helbing, Dirk",ETH Z�rich,che,734,Physics & Astronomy
"Cleland, J. G.F.",University of Glasgow,gbr,735,Clinical Medicine
"Cicchetti, Dante",University of Minnesota Twin Cities,usa,736,Psychology & Cognitive Sciences
"Downward, Julian",The Francis Crick Institute,gbr,737,Biomedical Research
"Hirsh, Jack",McMaster University,can,738,Clinical Medicine
"Ponting, Chris P.",The University of Edinburgh,gbr,739,Biomedical Research
"Harris, Curtis C.",National Cancer Institute (NCI),usa,740,Clinical Medicine
"Woese, Carl R.",University of Illinois Urbana-Champaign,usa,741,Biomedical Research
"Simon, Richard",R Simon Consulting,usa,742,Clinical Medicine
"Druker, Brian",Oregon Health & Science University,usa,743,Clinical Medicine
"Sharp, Phillip A.",Massachusetts Institute of Technology,usa,744,Biomedical Research
"Bader, Richard F.W.",McMaster University,can,745,Physics & Astronomy
"Houk, Kendall N.","University of California, Los Angeles",usa,746,Chemistry
"Taylor, Shelley E.","University of California, Los Angeles",usa,747,Psychology & Cognitive Sciences
"Charlesworth, Brian",The University of Edinburgh,gbr,748,Biomedical Research
"Dickinson, Eric",University of Leeds,gbr,749,Physics & Astronomy
"Fischl, Bruce",Massachusetts General Hospital,usa,750,Clinical Medicine
"Miettinen, Markku",National Cancer Institute (NCI),usa,751,Clinical Medicine
"Bennett, Charles H.",IBM Research,usa,752,Physics & Astronomy
"Bhutta, Zulfiqar A.",Hospital for Sick Children University of Toronto,can,753,Clinical Medicine
"Andreae, Meinrat O.",Max Planck Institute for Chemistry,deu,754,Earth & Environmental Sciences
"Goodman, Robert",King's College London,gbr,755,Clinical Medicine
"Flegal, Katherine M.",Stanford University School of Medicine,usa,756,Clinical Medicine
"Cook, Deborah J.",McMaster University,can,757,Clinical Medicine
"Hartl, F. Ulrich",Max-Planck-Institut f�r Biochemie,deu,758,Biomedical Research
"Costerton, J. W.",University of Calgary,can,759,Biomedical Research
"Dale, Anders M.","University of California, San Diego",usa,760,Clinical Medicine
"Baldwin, Albert S.",The University of North Carolina at Chapel Hill,usa,761,Biomedical Research
"Dahn, J. R.",Dalhousie University,can,762,Enabling & Strategic Technologies
"Valiev, R. Z.",Ufa State Aviation Technical University,rus,763,Enabling & Strategic Technologies
"Russell, James A.",Boston College,usa,764,Psychology & Cognitive Sciences
"Breslow, Ronald",Columbia University,usa,765,Chemistry
"Laurance, William",James Cook University,aus,766,Biology
"Sawyers, Charles L.",David Geffen School of Medicine at UCLA,usa,767,Clinical Medicine
"Vanhoutte, Paul M.",The University of Hong Kong,hkg,768,Clinical Medicine
"Griffiths, Mark D.",Nottingham Trent University,gbr,769,Public Health & Health Services
"Hoofnagle, Jay H.",National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),usa,770,Clinical Medicine
"Mittler, Ron",University of Missouri,usa,771,Biology
"Hernquist, Lars",Harvard-Smithsonian Center for Astrophysics,usa,772,Physics & Astronomy
"Ren, Wei","University of California, Riverside",usa,773,Engineering
"Murphy, Michael P.",MRC Mitochondrial Biology Unit,gbr,774,Biomedical Research
"Dalakas, Marinos C.",Thomas Jefferson University,usa,775,Clinical Medicine
"Wardle, J.",University College London,gbr,776,Clinical Medicine
"Beenakker, C. W.J.",Lorentz Institute for Theoretical Physics,nld,777,Physics & Astronomy
"Hunter, David J.",University of Oxford,gbr,778,Clinical Medicine
"Pedrycz, Witold",University of Alberta,can,779,Information & Communication Technologies
"Herrera, Francisco",Universidad de Granada,esp,780,Information & Communication Technologies
"Fraser Stoddart, J.",Zhejiang University,chn,781,Chemistry
"Auwerx, Johan",Ecole Polytechnique F�d�rale de Lausanne,che,782,Biomedical Research
"Nicoll, Roger A.","University of California, San Francisco",usa,783,Clinical Medicine
"Hosono, Hideo",Tokyo Institute of Technology,jpn,784,Physics & Astronomy
"Holt, Robert D.",University of Florida,usa,785,Biology
"Ohno, Hideo",Tohoku University,jpn,786,Physics & Astronomy
"Gisin, Nicolas",Universit� de Gen�ve,che,787,Physics & Astronomy
"Goldhaber, Samuel Z.",Dana-Farber/Brigham and Women's Cancer Center,,788,Clinical Medicine
"Lippard, Stephen J.",Massachusetts Institute of Technology,usa,789,Chemistry
"Patankar, Suhas V.",University of Minnesota Twin Cities,usa,790,Engineering
"Olanow, C. Warren",Icahn School of Medicine at Mount Sinai,usa,791,Clinical Medicine
"Decety, Jean","The Department of Psychology, The University of Chicago",usa,792,Clinical Medicine
"Van Essen, David C.",Washington University School of Medicine in St. Louis,usa,793,Clinical Medicine
"Canny, John","University of California, Berkeley",usa,794,Information & Communication Technologies
"Sonenberg, Nahum",McGill Faculty of Medicine and Health Sciences,can,795,Biomedical Research
"Botstein, David",Calico LLC,usa,796,Biomedical Research
"Delley, Bernard",Paul Scherrer Institut,che,797,Physics & Astronomy
"Lees, Andrew J.",Reta Lila Weston Institute of Neurological Studies,gbr,798,Clinical Medicine
"Guralnik, Jack M.",University of Maryland School of Medicine,usa,799,Clinical Medicine
"Tucker, Compton J.",NASA Goddard Space Flight Center,usa,800,Engineering
"Moran, Nancy A.",The University of Texas at Austin,usa,801,Biomedical Research
"Mattick, John S.",UNSW Sydney,aus,802,Biomedical Research
"Holmgren, Arne",Karolinska Institutet,swe,803,Biomedical Research
"Thompson, Simon G.",University of Cambridge,gbr,804,Clinical Medicine
"Janeway, Charles A.",Yale School of Medicine,usa,805,Clinical Medicine
"Bonventre, Joseph V.",Harvard Medical School,usa,806,Clinical Medicine
"Russell, Thomas P.",University of Massachusetts Amherst,usa,807,Chemistry
"Stillinger, Frank H.",Princeton University,usa,808,Physics & Astronomy
"Anderson, Jeffrey L.",Intermountain Medical Center,usa,809,Clinical Medicine
"Fries, James",Stanford University School of Medicine,usa,810,Clinical Medicine
"Easton, Douglas F.",Department of Public Health and Primary Care,gbr,811,Clinical Medicine
"Hyman, Bradley T.",Harvard Medical School,usa,812,Clinical Medicine
"Han, Jiawei",University of Illinois Urbana-Champaign,usa,813,Information & Communication Technologies
"Anderson, John Robert",Carnegie Mellon University,usa,814,Psychology & Cognitive Sciences
"hayreh, sohan singh",University of Iowa Carver College of Medicine,usa,815,Clinical Medicine
"Takeichi, Masatoshi",Riken,jpn,816,Biomedical Research
"Cuijpers, Pim",Vrije Universiteit Amsterdam,nld,817,Clinical Medicine
"Schiffrin, Ernesto L.",Lady Davis Institute for Medical Research,can,818,Clinical Medicine
"Nigg, Erich A.","Biozentrum, Universit�t Basel",che,819,Biomedical Research
"Balkwill, Frances R.",Barts and The London School of Medicine and Dentistry,gbr,820,Clinical Medicine
"Mardis, Elaine R.",Nationwide Children�s Hospital,usa,821,Clinical Medicine
"Suslick, Kenneth S.",University of Illinois Urbana-Champaign,usa,822,Chemistry
"Baldocchi, Dennis","Department of Environmental Science, Policy, and Management",usa,823,Earth & Environmental Sciences
"Balandin, Alexander A.","University of California, Riverside",usa,824,Physics & Astronomy
"Chen, Guanrong",City University of Hong Kong,hkg,825,Engineering
"Mckay, Gordon","Hamad Bin Khalifa University, College of Science and Engineering",qat,826,Engineering
"Varma, Rajender S.",Univerzita Palack�ho v Olomouci,cze,827,Chemistry
"Fisher, Michael E.","University of Maryland, College Park",usa,828,Physics & Astronomy
"Shane, Scott",Weatherhead School of Management,usa,829,Economics & Business
"Stice, Eric",Stanford University,usa,830,Clinical Medicine
"Foa, Edna",University of Pennsylvania,,831,Clinical Medicine
"Parrinello, Michele",Istituto Italiano di Tecnologia,ita,832,Physics & Astronomy
"Logothetis, Nikos K.",The University of Manchester,gbr,833,Clinical Medicine
"Drewnowski, Adam",University of Washington,usa,834,Biomedical Research
"Friederici, Angela D.",Max Planck Institute for Human Cognitive and Brain Sciences,deu,835,Clinical Medicine
"Liz-Marz�n, Luis M.","Centro de Investigaci�n Biom�dica en Red de Bioingenier�a, Biomateriales y Nanomedicina",esp,836,Enabling & Strategic Technologies
"Barsoum, Michel W.",Drexel University,usa,837,Enabling & Strategic Technologies
"Wiens, John J.",The University of Arizona,usa,838,Biology
"Bj�rntorp, Per",G�teborgs Universitet,swe,839,Clinical Medicine
"Lusis, Aldons J.",David Geffen School of Medicine at UCLA,usa,840,Biomedical Research
"Dixon, Richard A.",University of North Texas,usa,841,Biology
"Tinetti, Mary E.",Yale School of Medicine,usa,842,Clinical Medicine
"L�scher, Wolfgang",Tier�rztliche Hochschule Hannover,deu,843,Clinical Medicine
"Cross, L. Eric",Pennsylvania State University,usa,844,Physics & Astronomy
"Deary, Ian J.",The University of Edinburgh,gbr,845,Clinical Medicine
"Gottesman, Michael M.",National Cancer Institute (NCI),usa,846,Biomedical Research
"Wallentin, Lars",Uppsala Universitet,swe,847,Clinical Medicine
"Levitt, Michael",Stanford University,usa,848,Clinical Medicine
"Lok, Anna S.F.",University of Michigan Medical School,usa,849,Clinical Medicine
"Zanchetti, Alberto",Universit� degli Studi di Milano,ita,850,Clinical Medicine
"Strogatz, Steven",Cornell University,usa,851,Physics & Astronomy
"Tononi, Giulio",University of Wisconsin-Madison,usa,852,Clinical Medicine
"Buchwald, Stephen L.",Massachusetts Institute of Technology,usa,853,Chemistry
"El-Deiry, Wafik S.",The Warren Alpert Medical School,usa,854,Clinical Medicine
"Rader, Daniel J.",University of Pennsylvania Perelman School of Medicine,usa,855,Clinical Medicine
"Olah, George A.",University of Southern California,usa,856,Chemistry
"Wu, Guoyao",Texas A&M University,usa,857,Biomedical Research
"Stone, Gregg W.",Icahn School of Medicine at Mount Sinai,usa,858,Clinical Medicine
"Yaksh, Tony L.",UC San Diego Department of Anesthesiology,usa,859,Clinical Medicine
"Haldane, F. D.M.",Princeton University,usa,860,Physics & Astronomy
"Rimm, Eric B.",Harvard T.H. Chan School of Public Health,usa,861,Clinical Medicine
"Suo, Zhigang",Harvard John A. Paulson School of Engineering and Applied Sciences,usa,862,Physics & Astronomy
"Granqvist, Claes G.",�ngstr�mlaboratoriet,swe,863,Physics & Astronomy
"Astruc, Didier",Universit� de Bordeaux,fra,864,Chemistry
"Antzelevitch, Charles",Masonic Medical Research Laboratory,usa,865,Clinical Medicine
"Sun, Shouheng",Brown University,usa,866,Chemistry
"Sackett, David",Kilgore S. Trout Research and Education Centre,can,867,Clinical Medicine
"Wang, Shaobin",The University of Adelaide,aus,868,Chemistry
"Nattel, Stanley",Institut de Cardiologie de Montreal,can,869,Clinical Medicine
"Sanyal, Arun J.",Virginia Commonwealth University,,870,Clinical Medicine
"Meyer, Thomas J.",The University of North Carolina at Chapel Hill,usa,871,Chemistry
"Brennan, Murray F.",Memorial Sloan-Kettering Cancer Center,usa,872,Clinical Medicine
"List, Benjamin",Max Planck Institute for Coal Research,deu,873,Chemistry
"Tyler, Tom R.",Yale University,usa,874,Psychology & Cognitive Sciences
"Krieg, Arthur M.","Checkmate Pharmaceuticals, Inc.",usa,875,Clinical Medicine
"Wiberg, Kenneth B.",Yale University,usa,876,Chemistry
"Cahn, John W.",National Institute of Standards and Technology,usa,877,Enabling & Strategic Technologies
"Eisenberg, David S.","University of California, Los Angeles",usa,878,Biomedical Research
"Pfaffl, Michael W.","Wissenschaftszentrum Weihenstephan f�r Ern�hrung, Landnutzung und Umwelt",deu,879,Clinical Medicine
"Mendel, Jerry M.",University of Southern California,usa,880,Information & Communication Technologies
"Drevets, Wayne C.",Janssen Research & Development,usa,881,Clinical Medicine
"Paul, Donald R.",The University of Texas at Austin,usa,882,Chemistry
"Rosner, Bernard",Harvard T.H. Chan School of Public Health,usa,883,Clinical Medicine
"Greenhalgh, Trisha",University of Oxford Medical Sciences Division,gbr,884,Clinical Medicine
"Legendre, Pierre",University of Montreal,can,885,Biology
"Gladman, Dafna D.",University of Toronto,can,886,Clinical Medicine
"Young, Richard A.",Whitehead Institute,usa,887,Biomedical Research
"Schatz, George C.",Northwestern University,usa,888,Physics & Astronomy
"Fahn, Stanley",Columbia University Irving Medical Center,usa,889,Clinical Medicine
"Ben-Ari, Yehezkel",Campus scientifique de Luminy,fra,890,Clinical Medicine
"Bartlett, John G.",Oregon Health & Science University,usa,891,Clinical Medicine
"Corkum, P. B.",University of Ottawa,can,892,Physics & Astronomy
"Liu, Yong Jun",The First Bethune Hospital of Jilin University,chn,893,Clinical Medicine
"Gustafsson, Jan Ake",University of Houston,usa,894,Clinical Medicine
"Nasmyth, Kim",University of Oxford Medical Sciences Division,gbr,895,Biomedical Research
"Dang, Chi V.",The Wistar Institute,usa,896,Biomedical Research
"Neurath, Markus F.",Universit�tsklinikum Erlangen,deu,897,Clinical Medicine
"Raghavachari, Krishnan",Indiana University Bloomington,usa,898,Physics & Astronomy
"Sancar, Aziz",UNC School of Medicine,,899,Biomedical Research
"Girshick, Ross",Facebook Research,usa,900,Information & Communication Technologies
"Hameed, B. H.",Qatar University,qat,901,Engineering
"Canfield, Donald E.",Syddansk Universitet,dnk,902,Earth & Environmental Sciences
"Mitchison, Timothy",Harvard Medical School,usa,903,Biomedical Research
"Pollard, Thomas D.",Yale University,,904,Biomedical Research
"Langdon, T. G.",University of Southampton,gbr,905,Enabling & Strategic Technologies
"Sunstein, Cass R.",Harvard University,usa,906,Social Sciences
"Romagnani, Sergio",Universit� degli Studi di Firenze,ita,907,Clinical Medicine
"Waxman, Stephen G.",Yale School of Medicine,usa,908,Clinical Medicine
"Falkowski, Paul G.",Department of Marine and Coastal Sciences,usa,909,Biology
"Ciechanover, Aaron",Ruth & Bruce Rappaport Faculty of Medicine,isr,910,Biomedical Research
"Jackson, Stephen P.",Wellcome Trust/ Cancer Research UK Gurdon Institute,gbr,911,Biomedical Research
"Kanehisa, Minoru",Institute for Chemical Research,jpn,912,Biomedical Research
"Pashley, D. H.",Augusta University,usa,913,Clinical Medicine
"Rabiner, Lawrence R.",Rutgers University�New Brunswick,usa,914,Information & Communication Technologies
"Diener, Hans Christoph",Medizinischen Fakult�t,deu,915,Clinical Medicine
"Cohen, Marvin L.",Lawrence Berkeley National Laboratory,usa,916,Physics & Astronomy
"Zur Hausen, Harald",German Cancer Research Center,deu,917,Clinical Medicine
"Ebbesen, Thomas W.",Universit� de Strasbourg,fra,918,Physics & Astronomy
"Fujita, Makoto",The University of Tokyo,jpn,919,Chemistry
"Russell, Philip St J.",Max Planck Institute for the Science of Light,deu,920,Enabling & Strategic Technologies
"Brooks, David J.",Newcastle University,gbr,921,Clinical Medicine
"Stein, Dan J.",University of Cape Town,zaf,922,Clinical Medicine
"Costanza, Robert",University College London,gbr,923,Biology
"Rubinsztein, David C.",Cambridge Institute for Medical Research,gbr,924,Biomedical Research
"Cohn, Jay N.",University of Minnesota Medical School,usa,925,Clinical Medicine
"Yu, Jiaguo",China University of Geosciences,chn,926,Enabling & Strategic Technologies
"Sirringhaus, Henning",Department of Physics,gbr,927,Physics & Astronomy
"Doll, R.",Clinical Trial Service Unit and Epidemiological Studies Unit,gbr,928,Clinical Medicine
"Damour, Thibault",Institut des Hautes �tudes Scientifiques,fra,929,Physics & Astronomy
"Shneiderman, Ben","University of Maryland, College Park",usa,930,Information & Communication Technologies
"Colonna, Marco",Washington University School of Medicine in St. Louis,usa,931,Clinical Medicine
"Schaufeli, Wilmar B.",Universiteit Utrecht,nld,932,Economics & Business
"Crystal, Ronald G.",Weill Cornell Medicine,usa,933,Clinical Medicine
"Kramer, Michael",School of Medicine,can,934,Clinical Medicine
"Vousden, Karen H.",The Francis Crick Institute,gbr,935,Biomedical Research
"Blei, David",Columbia University,usa,936,Information & Communication Technologies
"Roden, Dan M.",Vanderbilt University Medical Center,usa,937,Clinical Medicine
"Miller, Danny",HEC Montr�al,can,938,Economics & Business
"Hubbell, Jeffrey A.",The University of Chicago,usa,939,Engineering
"Welton, Tom",Imperial College London,gbr,940,Chemistry
"Norman, Geoffrey R.",McMaster University,can,941,Clinical Medicine
"Hayashi, Tamio",National Tsing Hua University,twn,942,Chemistry
"Bousquet, Jean",Centre Hospitalier Universitaire de Montpellier,fra,943,Clinical Medicine
"Vandenbroucke, Jan P.",Aarhus Universitet,dnk,944,Clinical Medicine
"Schwartz, Peter J.",IRCCS Istituto Auxologico Italiano,ita,945,Clinical Medicine
"Evans, David A.",Harvard University,usa,946,Chemistry
"Kerbel, Robert S.",University of Toronto,can,947,Clinical Medicine
"Ekman, P.","University of California, San Francisco",usa,948,Psychology & Cognitive Sciences
"Pyykk�, Pekka",Helsingin Yliopisto,fin,949,Physics & Astronomy
"Sporn, Michael B.",Geisel School of Medicine at Dartmouth,usa,950,Clinical Medicine
"Finkelhor, David",University System of New Hampshire,usa,951,Psychology & Cognitive Sciences
"M�llen, Klaus",Max Planck Institute for Polymer Research,deu,952,Chemistry
"Davis, Michael",Emory University School of Medicine,usa,953,Clinical Medicine
"Koren, Gideon",Ariel University,isr,954,Clinical Medicine
"Ley, Klaus",Department of Bioengineering,usa,955,Clinical Medicine
"Banks, William A.",University of Washington School of Medicine,usa,956,Clinical Medicine
"Braak, Heiko",Universit�t Ulm,deu,957,Clinical Medicine
"Hankey, Graeme J.",UWA Medical School,aus,958,Clinical Medicine
"Goldstein, Joseph L.",UT Southwestern Medical School,usa,959,Biomedical Research
"Bishop, Dorothy V.M.",University of Oxford Medical Sciences Division,gbr,960,Psychology & Cognitive Sciences
"Walsh, Patrick C.",The Johns Hopkins Hospital,usa,961,Clinical Medicine
"Warlow, Charles P.",University of Oxford Medical Sciences Division,gbr,962,Clinical Medicine
"Shevach, Ethan M.",National Institute of Allergy and Infectious Diseases (NIAID),usa,963,Clinical Medicine
"Zhang, Hua",City University of Hong Kong,hkg,964,Enabling & Strategic Technologies
"Whiteside, Theresa",University of Pittsburgh School of Medicine,usa,965,Clinical Medicine
"Sporns, Olaf",Indiana University Bloomington,usa,966,Clinical Medicine
"Fu, Gregory C.",California Institute of Technology,usa,967,Chemistry
"Hutmacher, D. W.",Queensland University of Technology,aus,968,Engineering
"Shay, Jerry W.",UT Southwestern Medical Center,usa,969,Clinical Medicine
"Fabian, A. C.",Institute of Astronomy,gbr,970,Physics & Astronomy
"Deisseroth, Karl",Stanford University,usa,971,Clinical Medicine
"Rothwell, John C.",UCL Queen Square Institute of Neurology,gbr,972,Clinical Medicine
"Hewitt, Godfrey",University of East Anglia,gbr,973,Biology
"Molkentin, Jeffery D.",University of Cincinnati College of Medicine,usa,974,Clinical Medicine
"Bluestone, Jeffrey A.","University of California, San Francisco",usa,975,Clinical Medicine
"Fiske, Susan T.",Princeton University,usa,976,Psychology & Cognitive Sciences
"Das Sarma, S.","University of Maryland, College Park",usa,977,Physics & Astronomy
"Boneh, Dan",Stanford University,usa,978,Information & Communication Technologies
"Moskowitz, Michael A.",Massachusetts General Hospital,usa,979,Clinical Medicine
"Emery, Paul","University of Leeds, School of Medicine",gbr,980,Clinical Medicine
"White, H. D.",Auckland City Hospital,nzl,981,Clinical Medicine
"Ertl, Gerhard",Fritz Haber Institute of the Max Planck Society,deu,982,Physics & Astronomy
"Neher, Erwin",Georg-August-Universit�t G�ttingen,deu,983,Clinical Medicine
"Audretsch, David B.",Indiana University Bloomington,usa,984,Economics & Business
"W�thrich, Kurt",Scripps Research Institute,usa,985,Biomedical Research
"Issa, Jean Pierre J.",Coriell Institute for Medical Research,usa,986,Clinical Medicine
"Jones, Phil",University of East Anglia,gbr,987,Earth & Environmental Sciences
"Hyeon, Taeghwan",Seoul National University,kor,988,Enabling & Strategic Technologies
"Bell, Alexis T.","University of California, Berkeley",,989,Chemistry
"Schrier, Robert",University of Colorado Anschutz Medical Campus,usa,990,Clinical Medicine
"Rice-Evans, Catherine",King's College London,gbr,991,Biomedical Research
"Saaty, Thomas L.",Joseph M. Katz Graduate School of Business,usa,992,Information & Communication Technologies
"Moskovits, Martin","University of California, Santa Barbara",usa,993,Physics & Astronomy
"Graybiel, Ann M.",Massachusetts Institute of Technology,usa,994,Clinical Medicine
"Berry, M. V.",University of Bristol,gbr,995,Physics & Astronomy
"Corrigan, Patrick W.",Illinois Institute of Technology,usa,996,Clinical Medicine
"Gillberg, Christopher",Sahlgrenska Akademin,swe,997,Clinical Medicine
"Meister, Alton",Weill Cornell Medicine,usa,998,Biomedical Research
"Dunbar, Robin I.M.",University of Oxford Medical Sciences Division,gbr,999,Psychology & Cognitive Sciences
"Blagosklonny, Mikhail V.",Roswell Park Cancer Institute,usa,"1,000",Clinical Medicine
